case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_emailservice_socket_2,socket,SingleCenter,144,721,0.7353191602586275,0.6805555555555556,0.6388888888888888,1.0
re2ob_emailservice_socket_2,socket,KMeans,144,721,0.8358945171694177,0.7777777777777778,0.4444444444444444,1.0
re2ob_emailservice_socket_2,socket,MaxDeviation,144,721,0.9632489846922837,0.9465297041146556,0.10416666666666667,0.9972260748959778
re2ob_emailservice_socket_3,socket,SingleCenter,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_emailservice_socket_3,socket,KMeans,144,721,0.9633184439669795,0.9736236323008167,0.034722222222222224,0.9819694868238558
re2ob_emailservice_socket_3,socket,MaxDeviation,144,721,0.9738566802052409,0.9909847434119279,0.0,0.9819694868238558
re2ob_productcatalogservice_cpu_1,cpu,SingleCenter,144,721,0.9917598643473622,0.9972260748959778,0.0,0.9944521497919556
re2ob_productcatalogservice_cpu_1,cpu,KMeans,144,721,0.9917598643473622,0.9972260748959778,0.0,0.9944521497919556
re2ob_productcatalogservice_cpu_1,cpu,MaxDeviation,144,721,0.9522990695435951,0.9347260748959778,0.125,0.9944521497919556
re2ob_productcatalogservice_cpu_2,cpu,SingleCenter,144,721,0.9371646359180985,0.9347357065803668,0.1111111111111111,0.9805825242718447
re2ob_productcatalogservice_cpu_2,cpu,KMeans,144,721,0.8513649934488906,0.8166801510248112,0.3472222222222222,0.9805825242718447
re2ob_productcatalogservice_cpu_2,cpu,MaxDeviation,144,721,0.7166226221416558,0.6743190399137001,0.6319444444444444,0.9805825242718447
re2ob_productcatalogservice_cpu_3,cpu,SingleCenter,144,721,0.9696448624368332,0.9513888888888888,0.09722222222222222,1.0
re2ob_productcatalogservice_cpu_3,cpu,KMeans,144,721,0.9651012668441863,0.9444444444444444,0.1111111111111111,1.0
re2ob_productcatalogservice_cpu_3,cpu,MaxDeviation,144,721,0.9534971238105479,0.9270833333333333,0.14583333333333334,1.0
re2ob_productcatalogservice_delay_1,delay,SingleCenter,144,721,0.8910054127495453,0.8458352596702111,0.3055555555555556,0.9972260748959778
re2ob_productcatalogservice_delay_1,delay,KMeans,144,721,0.8782019510216955,0.8263888888888888,0.3472222222222222,1.0
re2ob_productcatalogservice_delay_1,delay,MaxDeviation,144,721,0.9390882049414193,0.9354291878563723,0.1111111111111111,0.9819694868238558
re2ob_productcatalogservice_delay_2,delay,SingleCenter,144,721,0.9688437239613974,0.9701465942364,0.04861111111111111,0.9889042995839112
re2ob_productcatalogservice_delay_2,delay,KMeans,144,721,0.9688437239613974,0.9701465942364,0.04861111111111111,0.9889042995839112
re2ob_productcatalogservice_delay_2,delay,MaxDeviation,144,721,0.9366300366300366,0.9027777777777778,0.19444444444444445,1.0
re2ob_productcatalogservice_delay_3,delay,SingleCenter,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_productcatalogservice_delay_3,delay,KMeans,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_productcatalogservice_delay_3,delay,MaxDeviation,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_productcatalogservice_disk_1,disk,SingleCenter,144,721,0.9394288418678662,0.9382079288025891,0.10416666666666667,0.9805825242718447
re2ob_productcatalogservice_disk_1,disk,KMeans,144,721,0.9394288418678662,0.9382079288025891,0.10416666666666667,0.9805825242718447
re2ob_productcatalogservice_disk_1,disk,MaxDeviation,144,721,0.9394288418678662,0.9382079288025891,0.10416666666666667,0.9805825242718447
re2ob_productcatalogservice_disk_2,disk,SingleCenter,144,721,0.9836970862075465,0.9944521497919556,0.0,0.9889042995839112
re2ob_productcatalogservice_disk_2,disk,KMeans,144,721,0.9836970862075465,0.9944521497919556,0.0,0.9889042995839112
re2ob_productcatalogservice_disk_2,disk,MaxDeviation,144,721,0.9836970862075465,0.9944521497919556,0.0,0.9889042995839112
re2ob_productcatalogservice_disk_3,disk,SingleCenter,144,721,0.8958922030350602,0.8652864462937279,0.2569444444444444,0.9875173370319001
re2ob_productcatalogservice_disk_3,disk,KMeans,144,721,0.877315143130103,0.8409808907381723,0.3055555555555556,0.9875173370319001
re2ob_productcatalogservice_disk_3,disk,MaxDeviation,144,721,0.9035951905158092,0.8757031129603945,0.2361111111111111,0.9875173370319001
re2ob_productcatalogservice_loss_1,loss,SingleCenter,144,721,0.9691835236948421,0.9757040761288334,0.034722222222222224,0.986130374479889
re2ob_productcatalogservice_loss_1,loss,KMeans,144,721,0.9797298563983353,0.9930651872399445,0.0,0.986130374479889
re2ob_productcatalogservice_loss_1,loss,MaxDeviation,144,721,0.94264052518733,0.9340374094621667,0.11805555555555555,0.986130374479889
re2ob_productcatalogservice_loss_2,loss,SingleCenter,144,721,0.9229661407245127,0.9007021497919556,0.1875,0.9889042995839112
re2ob_productcatalogservice_loss_2,loss,KMeans,144,721,0.9465823841671421,0.9354243720141778,0.11805555555555555,0.9889042995839112
re2ob_productcatalogservice_loss_2,loss,MaxDeviation,144,721,0.9131045141348445,0.8868132609030668,0.2152777777777778,0.9889042995839112
re2ob_productcatalogservice_loss_3,loss,SingleCenter,144,721,0.9979113393747541,0.9965277777777778,0.006944444444444444,1.0
re2ob_productcatalogservice_loss_3,loss,KMeans,144,721,0.985129025048567,0.9756944444444444,0.04861111111111111,1.0
re2ob_productcatalogservice_loss_3,loss,MaxDeviation,144,721,0.9979113393747541,0.9965277777777778,0.006944444444444444,1.0
re2ob_productcatalogservice_mem_1,mem,SingleCenter,144,721,0.9329498945801811,0.9041695561719834,0.1875,0.9958391123439667
re2ob_productcatalogservice_mem_1,mem,KMeans,144,721,0.9474898318460511,0.9437605948528278,0.09722222222222222,0.984743411927878
re2ob_productcatalogservice_mem_1,mem,MaxDeviation,144,721,0.9758041958041959,0.9916782246879334,0.0,0.9833564493758669
re2ob_productcatalogservice_mem_2,mem,SingleCenter,144,721,0.9097603362772863,0.8882050392972722,0.20833333333333334,0.984743411927878
re2ob_productcatalogservice_mem_2,mem,KMeans,144,721,0.8920481727229237,0.8638994837417168,0.2569444444444444,0.984743411927878
re2ob_productcatalogservice_mem_2,mem,MaxDeviation,144,721,0.9777618850629515,0.992371705963939,0.0,0.984743411927878
re2ob_productcatalogservice_mem_3,mem,SingleCenter,144,721,0.8729104087762831,0.8319511866235167,0.3263888888888889,0.9902912621359223
