sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
204,18,20,173,6,13098,0.018193220000284782,8,1
205,18,20,142,5,9089,0.011729600999387912,3,1
206,18,18,134,5,8176,0.010931976999927429,1,1
207,18,21,155,5,9588,0.013854978999916057,4,1
208,18,22,171,6,12855,0.02078039699972578,8,1
209,18,19,166,6,10974,0.016799534999336174,4,1
210,18,23,182,6,13308,0.01871093799945811,8,1
211,18,20,142,5,8564,0.01198502199986251,4,1
212,18,19,151,6,10771,0.014959891999751562,3,1
213,18,19,132,5,7951,0.010450712999954703,2,1
214,18,17,125,5,7091,0.009343429999717046,0,1
215,18,20,143,5,8746,0.012693141000454489,5,1
216,13,14,102,7,6016,0.008865929000421602,3,1
217,13,13,81,6,4512,0.006743757000549522,2,1
218,13,14,97,6,4908,0.006822015000579995,3,1
219,13,15,109,6,5618,0.008338516000549134,7,1
220,13,13,94,6,4536,0.006352016999699117,2,1
221,13,12,83,6,4306,0.00604548200044519,2,1
222,13,11,76,6,3828,0.005408336000073177,0,1
223,13,12,78,6,4170,0.006044763999852876,1,1
224,17,18,106,6,8034,0.010765420000097947,3,1
225,17,18,105,6,8016,0.010436186000333691,3,1
226,17,16,117,6,7313,0.009811066999645845,2,1
227,17,16,100,6,7106,0.010934802000519994,1,1
228,17,18,110,6,8034,0.011527255000146397,3,1
229,17,16,100,6,7106,0.010006220999457582,1,1
230,17,15,98,6,6651,0.009939487999872654,0,1
231,17,23,150,6,11585,0.01524175800022931,13,1
232,12,12,88,5,3526,0.005081546999463171,3,1
233,12,13,87,5,3665,0.005381263000344916,3,1
234,12,10,69,5,2840,0.004455336999853898,0,1
235,12,10,69,5,2840,0.004495940000197152,0,1
236,12,12,100,5,3700,0.005329111000719422,5,1
237,12,11,73,5,3115,0.004462742999749025,1,1
238,12,12,78,5,3380,0.004852242000197293,2,1
239,12,12,77,5,3390,0.0047660299997005495,2,1
240,11,9,51,4,1398,0.00234868200004712,0,1
241,11,10,57,4,1632,0.0028099609999117092,2,1
242,11,10,55,4,1563,0.0024220530003731255,1,1
243,11,9,51,4,1398,0.002238997999484127,0,1
244,11,10,57,4,1571,0.0026125989998035948,1,1
245,11,9,51,4,1398,0.0021931530000074417,0,1
246,11,14,80,4,2443,0.00397688199973345,6,1
247,11,11,58,4,1728,0.0029774800004815916,2,1
248,12,13,74,6,3629,0.005253341000752698,3,1
249,12,13,79,5,2996,0.004627396000614681,4,1
